Brand,Model,Specifications
Acer,Liquid E3 Duo Plus,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2014, Q3', 'Status': 'Available. Released 2014, Q3'}}, {'Body': {'Dimensions': '138 x 69 x 8.9 mm (5.43 x 2.72 x 0.35 in)', 'Weight': '-', 'SIM': 'Dual SIM'}}, {'Display': {'Type': 'IPS LCD capacitive touchscreen, 16M colors', 'Size': '4.7 inches, 60.9 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 4.2.2 (Jelly Bean)', 'Chipset': 'Mediatek MT6589 (28 nm)', 'CPU': 'Quad-core 1.2 GHz Cortex-A7', 'GPU': 'PowerVR SGX544'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Internal': '16GB 2GB RAM'}}, {'Main Camera': {'Single': '13 MP, AF', 'Features': 'LED flash', 'Video': 'Yes'}}, {'Selfie camera': {'Single': '2 MP', 'Features': 'LED flash'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n, hotspot', 'Bluetooth': '4.0, A2DP', 'GPS': 'Yes, with A-GPS, GLONASS', 'Radio': 'FM radio', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer, proximity'}}, {'Battery': {'Stand-by': 'Non-removable Li-Ion 2000 mAh battery', 'Talk time': 'Up to 260 h'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 240 EUR'}}]"
Acer,Iconia Tab 7 A1-713,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2014, April', 'Status': 'Available. Released 2014, August'}}, {'Body': {'Dimensions': '8.9 mm thickness', 'Weight': '298 g (10.51 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'TFT capacitive touchscreen', 'Size': '7.0 inches, 137.9 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)', 'CPU': 'Quad-core'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Internal': '16GB 1GB RAM'}}, {'Main Camera': {'Single': '2 MP', 'Video': 'Yes'}}, {'Selfie camera': {'Single': 'Yes'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n', 'Bluetooth': '4.0, A2DP', 'GPS': 'Yes', 'Radio': 'No', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer'}}, {'Battery': {'Talk time': 'Non-removable Li-Ion 3400 mAh battery'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 110 EUR'}}]"
Acer,Iconia Tab 8 A1-840FHD,"[{'Network': {'Technology': 'No cellular connectivity'}}, {'Launch': {'Announced': '2014, June', 'Status': 'Available. Released 2014, September'}}, {'Body': {'Dimensions': '215 x 130 x 8.5 mm (8.46 x 5.12 x 0.33 in)', 'Weight': '360 g (12.70 oz)', 'SIM': 'No'}}, {'Display': {'Type': 'IPS LCD capacitive touchscreen, 16M colors', 'Size': '8.0 inches, 185.6 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 4.4.2 (KitKat)', 'Chipset': 'Intel Atom Z3745', 'CPU': 'Quad-core 1.86 GHz', 'GPU': 'Intel Gen 7 (Ivy Bridge)'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Internal': '16GB 2GB RAM, 32GB 2GB RAM'}}, {'Main Camera': {'Single': '5 MP', 'Video': 'Yes'}}, {'Selfie camera': {'Single': '2 MP'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 a/b/g/n, dual-band', 'Bluetooth': '4.0, A2DP', 'GPS': 'Yes, GLONASS', 'Radio': 'No', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer'}}, {'Battery': {'Talk time': 'Non-removable Li-Ion 4600 mAh battery'}}, {'Misc': {'Colors': 'Silver', 'Price': 'About 200 EUR'}}]"
Acer,Iconia Tab 7 A1-713HD,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2014, April', 'Status': 'Available. Released 2014, August'}}, {'Body': {'Dimensions': '8.9 mm thickness', 'Weight': '298 g (10.51 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'IPS LCD capacitive touchscreen', 'Size': '7.0 inches, 142.1 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 4.4.2 (KitKat)', 'CPU': 'Quad-core'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Internal': '16GB 1GB RAM'}}, {'Main Camera': {'Single': '5 MP', 'Video': 'Yes'}}, {'Selfie camera': {'Single': 'Yes'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n', 'Bluetooth': '4.0, A2DP', 'GPS': 'Yes', 'Radio': 'No', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer'}}, {'Battery': {'Talk time': 'Non-removable Li-Ion 3400 mAh battery'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 150 EUR'}}]"
Acer,Liquid Z200,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2014, June', 'Status': 'Available. Released 2014, September'}}, {'Body': {'Dimensions': '126 x 65 x 10.3 mm (4.96 x 2.56 x 0.41 in)', 'Weight': '130 g (4.59 oz)', 'SIM': 'Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)'}}, {'Display': {'Type': 'TFT capacitive touchscreen', 'Size': '4.0 inches, 45.5 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 4.4.2 (KitKat)', 'Chipset': 'Mediatek MT6572M (28 nm)', 'CPU': 'Dual-core 1.0 GHz Cortex-A7', 'GPU': 'Mali-400'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Internal': '4GB 512MB RAM'}}, {'Main Camera': {'Single': '2 MP', 'Features': 'Panorama', 'Video': 'Yes'}}, {'Selfie camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n, hotspot', 'Bluetooth': '4.0, A2DP', 'GPS': 'Yes, with A-GPS', 'Radio': 'FM radio', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer'}}, {'Battery': {}}, {'Misc': {'Colors': 'Titanium Black, Essential White, Fragrant Pink, Sky Blue, Sunshine Yellow', 'Price': 'About 90 EUR'}}]"
Acer,Iconia One 7 B1-730,"[{'Network': {'Technology': 'No cellular connectivity'}}, {'Launch': {'Announced': '2014, April', 'Status': 'Available. Released 2014, June'}}, {'Body': {'Dimensions': '8.9 mm thickness', 'Weight': '-', 'SIM': 'No'}}, {'Display': {'Type': 'IPS LCD capacitive touchscreen', 'Size': '7.0 inches, 142.1 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)', 'Chipset': 'Intel Atom Z2560', 'CPU': 'Dual-core 1.6 GHz', 'GPU': 'PowerVR SGX544MP2'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Internal': '8GB 1GB RAM'}}, {'Main Camera': {'Single': '5 MP', 'Video': 'Yes'}}, {'Selfie camera': {'Single': 'Yes'}}, {'Sound': {'Loudspeaker': 'Yes, with stereo speakers', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n', 'Bluetooth': '4.0, A2DP', 'GPS': 'No', 'Radio': 'No', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer'}}, {'Battery': {'Talk time': 'Non-removable Li-Ion 3700 mAh battery'}}, {'Misc': {'Colors': 'Red, white, black, blue, pink', 'Price': 'About 90 EUR'}}]"
Emporia,Talk Comfort,"[{'Network': {'Technology': 'GSM'}}, {'Launch': {'Announced': '2011', 'Status': 'Available'}}, {'Body': {'Dimensions': '114 x 55 x 15.5 mm (4.49 x 2.17 x 0.61 in)', 'Weight': '80 g (2.82 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'FSTN', 'Size': '1.8 inches, 8.4 cm', 'Resolution': '2'}}, {'Memory': {'Card slot': 'No', 'Phonebook': '250 entries', 'Call records': 'Yes'}}, {'Camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': 'No', 'GPS': 'No', 'Radio': 'No', 'USB': 'No'}}, {'Features': {'Sensors': 'SMS', 'Messaging': 'No', 'Games': 'No'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1000 mAh battery', 'Talk time': 'Up to 200 h'}}, {'Misc': {'Colors': 'Black/Silver'}}]"
Emporia,Talk Premium,"[{'Network': {'Technology': 'GSM'}}, {'Launch': {'Announced': '2010', 'Status': 'Available'}}, {'Body': {'Dimensions': '121 x 57 x 15 mm (4.76 x 2.24 x 0.59 in)', 'Weight': '110 g (3.88 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'FSTN', 'Size': '2.0 inches, 10.3 cm', 'Resolution': '2'}}, {'Memory': {'Card slot': 'No', 'Phonebook': '100 entries', 'Call records': 'Yes'}}, {'Camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': 'No', 'GPS': 'No', 'Radio': 'No', 'USB': 'No'}}, {'Features': {'Sensors': 'SMS', 'Messaging': 'No', 'Games': 'No'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1200 mAh battery', 'Talk time': 'Up to 200 h'}}, {'Misc': {'Colors': 'Black/Silver'}}]"
Emporia,RL1,"[{'Network': {'Technology': 'GSM'}}, {'Launch': {'Announced': '2011', 'Status': 'Available'}}, {'Body': {'Dimensions': '109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in)', 'Weight': '92 g (3.25 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'OLED', 'Size': '1.8 inches, 10.2 cm', 'Resolution': '2'}}, {'Memory': {'Card slot': 'No', 'Phonebook': '100 entries', 'Call records': 'Yes', 'Internal': '8MB'}}, {'Camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': 'No', 'GPS': 'No', 'Radio': 'No', 'USB': 'No'}}, {'Features': {'Sensors': 'SMS', 'Messaging': 'No', 'Games': 'No'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 800 mAh battery', 'Talk time': 'Up to 200 h'}}, {'Misc': {'Colors': 'Black'}}]"
Emporia,Talk Comfort Plus,"[{'Network': {'Technology': 'GSM'}}, {'Launch': {'Announced': '2013', 'Status': 'Available'}}, {'Body': {'Dimensions': '114.5 x 56 x 16 mm (4.51 x 2.20 x 0.63 in)', 'Weight': '90 g (3.17 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'FSTN', 'Size': '1.9 inches, 9.3 cm', 'Resolution': '2'}}, {'Platform': {'Chipset': 'Infineon PMB7900 (ULC3)'}}, {'Memory': {'Card slot': 'No', 'Phonebook': 'Yes', 'Call records': 'Yes', 'Internal': '0.4MB 4MB RAM'}}, {'Camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': 'No', 'GPS': 'No', 'Radio': 'No', 'USB': 'No'}}, {'Features': {'Sensors': 'SMS', 'Messaging': 'No', 'Games': 'No'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1000 mAh battery', 'Talk time': 'Up to 200 h'}}, {'Misc': {'Colors': 'Black/Silver'}}]"
